churn_level,condition,model,seen_top1,seen_top1_ci_low,seen_top1_ci_high,unseen_top1,unseen_top1_ci_low,unseen_top1_ci_high,gap,gap_ci_low,gap_ci_high,added_labelled_examples,training_wall_time_s
churn25,churn25,DistilBERT-Clf-Frozen,0.6534653465346535,0.5858585858585859,0.7170731707317073,0.0,0.0,0.0,0.6534653465346535,0.5858585858585859,0.7170731707317073,0,
churn25,churn25,DistilBERT-Clf-Retrained,0.7079207920792079,0.6442307692307693,0.7692307692307693,0.14705882352941177,0.06779661016949153,0.23529411764705882,0.5608619685497961,0.45141683449280773,0.6626221821649463,76,12.815657138824463
churn50,churn50,DistilBERT-Clf-Frozen,0.5220588235294118,0.43884892086330934,0.6074074074074074,0.0,0.0,0.0,0.5220588235294118,0.43884892086330934,0.6074074074074074,0,
churn50,churn50,DistilBERT-Clf-Retrained,0.4411764705882353,0.35877862595419846,0.5238095238095238,0.1417910447761194,0.0851063829787234,0.2028985507246377,0.2993854258121159,0.19772111545542936,0.40214352896442856,92,10.022303104400635
