model,role,rq,condition,n,em,em_ci_low,em_ci_high,macro_field_acc,macro_field_acc_ci_low,macro_field_acc_ci_high,valid_rate,valid_rate_ci_low,valid_rate_ci_high,unsafe_rate,unsafe_rate_ci_low,unsafe_rate_ci_high,spurious_rate,spurious_rate_ci_low,spurious_rate_ci_high,missed_rate,missed_rate_ci_low,missed_rate_ci_high,rq1b_request_em,rq1b_request_em_ci_low,rq1b_request_em_ci_high,rq1b_message_all_correct,seen_top1,seen_top1_ci_low,seen_top1_ci_high,unseen_top1,unseen_top1_ci_low,unseen_top1_ci_high,unsupported_f1,unsupported_f1_ci_low,unsupported_f1_ci_high,latency_p50,latency_p50_ci_low,latency_p50_ci_high,latency_p95,latency_p95_ci_low,latency_p95_ci_high,latency_p99,output_tokens_median,cost_mean_usd_per_call,cost_usd_per_1000_correct,flag_valid_lt_50
SemIf-Qwen3.5-4B,main,RQ1a,pad_2048,300,0.44,0.38333333333333336,0.49666666666666665,0.8191666666666667,0.7966666666666666,0.84,1.0,1.0,1.0,0.0033333333333333335,0.0,0.01,0.12941176470588237,0.09927360774818401,0.16037735849056603,0.1406451612903226,0.11670977011494253,0.16454161752640753,,,,,,,,,,,,,,0.209820645628497,0.20980631303973496,0.2107155448757112,0.3340754085220397,0.3152226167032496,0.3466852661687881,0.3587873250199482,0.0,,,False
Laya,main,RQ1a,pad_2048,300,0.013333333333333334,0.0033333333333333335,0.02666666666666667,0.38,0.3516666666666667,0.4083333333333333,1.0,1.0,1.0,0.20333333333333334,0.15666666666666668,0.25,0.7529411764705882,0.7136361011967247,0.7915690866510539,0.1329032258064516,0.11025641025641025,0.15569697636153332,,,,,,,,,,,,,,0.07282136520370841,0.07281812094151974,0.07282543182373047,0.073823189153336,0.0738070379011333,0.07471188749186694,0.07473769154399633,0.0,,,False
Qwen3.5-4B-JSON,reference,RQ1a,pad_2048,300,0.2966666666666667,0.24666666666666667,0.35,0.765,0.7433333333333333,0.7866666666666666,1.0,1.0,1.0,0.006666666666666667,0.0,0.016666666666666666,0.3976470588235294,0.34651162790697676,0.4515366430260047,0.03354838709677419,0.019455252918287938,0.04887786918830511,,,,,,,,,,,,,,0.8567542501259595,0.8548499350436032,0.8588015330024064,0.9808740254025908,0.925897458428517,1.067735396442004,1.5449907847586979,31.0,,,False
Rule,reference,RQ1a,pad_2048,300,0.06666666666666667,0.04,0.09666666666666666,0.5575,0.5333333333333333,0.5816666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5367741935483871,0.5144736842105263,0.5579345088161209,,,,,,,,,,,,,,0.00032733334228396416,0.00031300028786063194,0.00035597942769527435,0.0004352475516498089,0.0004305587150156498,0.00044404198415577413,0.000456427168101072,0.0,,,False
Jev-1.13.0,main,RQ1a,pad_8192,300,0.91,0.8766666666666667,0.94,0.9766666666666667,0.9675,0.985,1.0,1.0,1.0,0.0,0.0,0.0,0.05176470588235294,0.032036613272311214,0.07363420427553444,0.007741935483870968,0.0012953367875647669,0.015625,,,,,,,,,,,,,,0.34295512503013015,0.3358763325959444,0.35096179135143757,0.525236012833193,0.4894978715106845,0.6266791109927001,0.8387488843966265,181.0,0.0004929201199999999,0.5416704615384614,False
DeepSeek-V4.1-Flash,main,RQ1a,pad_8192,300,0.9766666666666667,0.9566666666666667,0.9933333333333333,0.9933333333333333,0.9875,0.9975,1.0,1.0,1.0,0.0,0.0,0.0,0.011764705882352941,0.002369668246445498,0.02320185614849188,0.0025806451612903226,0.0,0.007863695937090432,,,,,,,,,,,,,,0.5187317705713212,0.5093981875106692,0.5263927290216088,0.7853947700466962,0.7103994183707982,0.8938375016208742,1.2316094035748377,25.0,0.0026888464,2.7530850511945393,False
GLM-5.3-Flash,main,RQ1a,pad_8192,300,0.95,0.9233333333333333,0.9733333333333334,0.9808333333333333,0.9683333333333334,0.9908333333333333,0.9933333333333333,0.9833333333333333,1.0,0.0,0.0,0.0,0.009411764705882352,0.0022624434389140274,0.01927710843373494,0.014193548387096775,0.00517464424320828,0.02577319587628866,,,,,,,,,,,,,,1.1067344578914344,1.0765339583158493,1.1739157093688846,5.6309771153610235,4.312877822585874,8.449838543729896,29.707785042114555,26.0,0.001323381577181208,1.383746350877193,False
Qwen3.8-Flash,main,RQ1a,pad_8192,300,0.7633333333333333,0.7133333333333334,0.81,0.9091666666666667,0.8891666666666667,0.9283333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.011764705882352941,0.002380952380952381,0.02336448598130841,0.13161290322580646,0.10259488540368962,0.1620619716611592,,,,,,,,,,,,,,2.3641471876762807,2.2891520839184523,2.426155500113964,4.7906758223660315,4.020217458857226,6.281613122904674,8.87013876095414,38.0,0.0016363464266666667,2.1436852751091706,False
SemIf-Qwen3.5-4B,main,RQ1a,pad_8192,300,0.47333333333333333,0.4166666666666667,0.53,0.8233333333333334,0.8,0.845,1.0,1.0,1.0,0.0033333333333333335,0.0,0.01,0.12470588235294118,0.09567198177676538,0.1558139534883721,0.14838709677419354,0.12371134020618557,0.1739144038744082,,,,,,,,,,,,,,0.6016814755275846,0.6007715894374996,0.6017741172108799,0.7178534356877208,0.6907587791094557,0.7288840683642775,0.7477916256152093,0.0,,,False
Laya,main,RQ1a,pad_8192,300,0.023333333333333334,0.006666666666666667,0.043333333333333335,0.395,0.36583333333333334,0.42333333333333334,1.0,1.0,1.0,0.18666666666666668,0.14333333333333334,0.23,0.731764705882353,0.6893418532461528,0.7734004238482263,0.1393548387096774,0.11624763172501523,0.16321243523316062,,,,,,,,,,,,,,0.09276935225352645,0.09276274242438376,0.09277363237924874,0.0937382138101384,0.09371055520605295,0.09376718134153635,0.09471042508259415,0.0,,,False
