part,cell,model,deployment,n_arrivals,n_supported,primary_metric,strict_completion,strict_ci_low,strict_ci_high,operational_completion,operational_ci_low,operational_ci_high,share_success,share_wrong_or_late,share_queue_expired,share_queue_overflow,share_decision_late,share_decision_timeout,share_invalid_decision,share_unsupported,share_no_feasible_node,share_ocr_returned,share_ocr_error,share_undeployed,share_invalid_labels,share_service_queue_expired,share_service_aborted,share_service_transport_or_integrity_error,share_aborted,share_aborted_before_dispatch,T_p50_completions,T_p50_completions_ci_low,T_p50_completions_ci_high,T_p95_completions,T_p95_completions_ci_low,T_p95_completions_ci_high,T_p99_completions,T_p50_shared,T_p50_shared_ci_low,T_p50_shared_ci_high,T_p95_shared,T_p95_shared_ci_low,T_p95_shared_ci_high,T_p99_shared,n_shared_with_anchor,shared_anchor,cost_usd_known,unknown_cost_calls,usd_per_correct_completion,api_calls,cache_hits,locality_violations,offsite_bytes,false_admissions,correct_rejections,mean_admission_wait_s,mean_decision_s,mean_service_queue_s,mean_transfer_s,mean_execution_s
A,reuse_repeated_on,GLM-5.3-Flash,hosted,300,300,strict,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085199,0.082897,0.088303,0.196757,0.169049,0.878955,0.999135,0.085199,0.082897,0.088303,0.196757,0.169049,0.878955,0.999135,300,Jev-1.13.0,0.00042605,0,1.42017e-06,11,289,0,,,,0.00675529,0.0251809,0.00065273,0.0113733,0.081341
A,reuse_repeated_on,Qwen3.8-Flash,hosted,300,300,strict,0.97,0.91,1,0.97,0.91,1,0.97,0,0.00333333,0,0.0233333,0,0,0,0.00333333,0,0,0,0,0,0,0,0,0,0.08477,0.082961,0.087651,0.194648,0.169269,1.38667,1.41335,0.08477,0.082961,0.087651,0.194648,0.169269,1.38667,1.41335,291,Jev-1.13.0,0.000559628,0,1.92312e-06,13,286,0,,,,0.0352817,0.0659577,0.00066521,0.0114349,0.0806814
A,reuse_repeated_on,SemIf-Qwen3.5-4B,self-hosted,300,300,strict,0.953333,0.866667,1,0.953333,0.866667,1,0.953333,0,0.00333333,0,0.0433333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084559,0.082743,0.087022,0.194005,0.169392,0.62394,1.01235,0.084559,0.082743,0.087022,0.194005,0.169392,0.62394,1.01235,286,SemIf-Qwen3.5-4B,0,0,,17,282,0,,,,0.0388561,0.132835,0.000808864,0.0114323,0.0808059
A,reuse_repeated_on,Laya,self-hosted,300,300,strict,0.113333,0.0866667,0.14,0.616667,0.576667,0.66,0.113333,0.62,0,0,0,0,0,0.266667,0,0,0,0,0,0,0,0,0,0,0.178817,0.168753,0.189698,0.204051,0.19624,0.265263,0.245787,0.178208,0.168138,0.189693,0.201945,0.195252,0.206245,0.205232,31,SemIf-Qwen3.5-4B,0,0,,8,292,0,,,,0.00175611,0.00282935,0.000345723,0.0113925,0.0900977
A,reuse_repeated_on,Qwen3.5-4B-JSON,self-hosted,300,300,strict,0.576667,0.46,0.66,0.89,0.723333,1,0.576667,0.313333,0.0533333,0,0.0466667,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.086912,0.084958,0.0894354,0.194511,0.178,0.19965,0.20375,0.086912,0.084958,0.0894354,0.194511,0.178,0.19965,0.20375,173,SemIf-Qwen3.5-4B,0,0,,17,267,0,,,,0.0655645,0.216733,0.000735614,0.0114261,0.080873
A,bursty,Jev-1.13.0,hosted,300,300,strict,0.95,0.923333,0.973333,1,1,1,0.95,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380471,0.375113,0.386854,0.505504,0.482858,0.521705,0.559534,0.380471,0.375113,0.386854,0.505504,0.482858,0.521705,0.559534,285,Jev-1.13.0,0.0102938,0,3.61185e-05,300,0,0,,,,0.00949722,0.279529,0.00391218,0.0114067,0.0834073
A,bursty,DeepSeek-V4.1-Flash,hosted,300,300,strict,0.986667,0.973333,1,0.996667,0.99,1,0.986667,0.0133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518986,0.489607,0.558296,0.966453,0.674554,1.08753,1.11939,0.520093,0.489821,0.563681,0.968212,0.674554,1.10887,1.12963,282,Jev-1.13.0,0.0266517,0,9.00396e-05,300,0,0,,,,0.0818375,0.387209,0.00506171,0.0110632,0.0833367
A,bursty,GLM-5.3-Flash,hosted,300,300,strict,0.223333,0.04,0.453333,0.226667,0.04,0.46,0.223333,0.00333333,0.186667,0,0.553333,0,0,0,0.0333333,0,0,0,0,0,0,0,0,0,1.23429,0.800498,1.89862,1.92922,1.84335,1.98774,1.99169,1.20464,0.78769,1.89894,1.91473,1.80561,1.98774,1.99192,65,Jev-1.13.0,0.00949405,0,0.000141702,244,0,0,,,,1.38986,0.69339,0.00270221,0.0114774,0.08425
A,bursty,Qwen3.8-Flash,hosted,300,300,strict,0.0633333,0,0.146667,0.0733333,0,0.16,0.0633333,0.01,0.566667,0,0.356667,0,0,0,0.00333333,0,0,0,0,0,0,0,0,0,1.3579,1.32496,1.36968,1.92785,1.70401,1.95385,1.94865,1.3579,1.32496,1.36968,1.92785,1.70401,1.95385,1.94865,19,Jev-1.13.0,0.0045912,0,0.000241642,130,0,0,,,,1.39929,1.43138,0.00475205,0.00904323,0.0826182
A,bursty,SemIf-Qwen3.5-4B,self-hosted,300,300,strict,0.0833333,0,0.196667,0.0866667,0,0.2,0.0833333,0.0133333,0.656667,0,0.246667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626267,0.620492,0.959035,1.49115,0.881142,1.77058,1.8132,0.626267,0.620492,0.959035,1.49115,0.881142,1.77058,1.8132,25,SemIf-Qwen3.5-4B,0,0,,103,0,0,,,,1.28025,1.67297,0,0.00906793,0.0872034
