part,cell,model,anchor,deployment,G_primary,G_primary_ci_low,G_primary_ci_high,G_primary_p,G_operational,G_operational_ci_low,G_operational_ci_high,dT95,dT95_ci_low,dT95_ci_high,dT95_p,dT50,dT50_ci_low,dT50_ci_high,n_shared,h7_eligible
A,deadline_0.5,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.116667,-0.16,-0.0766667,9.999e-05,-0.743333,-0.79,-0.686667,,,,,,,,0,false
A,deadline_0.5,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0,0,0,1,0,0,0,,,,,,,,0,false
A,deadline_1,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,0.0133333,-0.02,0.06,0.6636,0.0766667,0.03,0.136667,0.378722,0.29863,0.439659,9.999e-05,0.147579,0.121604,0.16153,258,true
A,deadline_1,GLM-5.3-Flash,Jev-1.13.0,hosted,0.2,0.10325,0.293333,9.999e-05,0.27,0.183333,0.356667,0.503253,0.459175,0.524394,9.999e-05,0.40218,0.373237,0.420417,201,true
A,deadline_1,Qwen3.8-Flash,Jev-1.13.0,hosted,0.926667,0.89,0.96,9.999e-05,0.996667,0.99,1,,,,,,,,0,false
A,deadline_1,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.113333,-0.156667,-0.0733333,9.999e-05,-0.74,-0.786667,-0.686667,-0.619926,-0.619926,-0.619926,0.000153586,-0.619926,-0.619926,-0.619926,1,false
A,deadline_1,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.00333333,0,0.01,0.698,0.00333333,0,0.01,,,,,,,,0,false
A,deadline_4,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,-0.0433333,-0.0633333,-0.0233333,9.999e-05,0.00333333,0,0.01,0.529747,0.176512,0.675461,9.999e-05,0.138391,0.124533,0.158602,281,true
A,deadline_4,GLM-5.3-Flash,Jev-1.13.0,hosted,-0.0466667,-0.08,-0.0166667,0.0016,0.00333333,0,0.01,0.960137,0.786508,1.0574,9.999e-05,0.484407,0.439401,0.581789,280,true
A,deadline_4,Qwen3.8-Flash,Jev-1.13.0,hosted,0.893333,0.823333,0.946667,9.999e-05,0.946667,0.866667,1,3.40334,3.26573,3.48498,0.000102965,2.72211,2.25384,3.48498,14,false
A,deadline_4,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.09,-0.15,-0.02,0.0194,-0.716667,-0.78,-0.643333,-0.582837,-0.582837,-0.582837,0.000153586,-0.582837,-0.582837,-0.582837,1,false
A,deadline_4,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.02,0,0.06,0.698,0.0133333,0,0.04,1.28817,1.28817,1.333,0.000153586,0.884757,0.884757,0.884757,2,false
A,topo_10,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,-0.0533333,-0.0766667,-0.03,9.999e-05,0,0,0,1.00846,0.609552,1.18578,9.999e-05,0.420182,0.258154,0.601165,281,true
A,topo_10,GLM-5.3-Flash,Jev-1.13.0,hosted,0.916667,0.89,0.946667,9.999e-05,0.976667,0.95,1,1.42856,1.07967,1.55642,0.000111682,1.22904,0.778107,1.48398,5,false
A,topo_10,Qwen3.8-Flash,Jev-1.13.0,hosted,0.926667,0.896667,0.956667,9.999e-05,0.986667,0.96,1,1.3493,1.3493,1.35231,0.000153586,1.26215,1.26215,1.26215,4,false
A,topo_10,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.106667,-0.153333,-0.06,9.999e-05,-0.733333,-0.783333,-0.68,-0.599661,-0.599661,-0.599661,0.000153586,-0.599661,-0.599661,-0.599661,1,false
A,topo_10,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.00666667,0,0.02,0.698,0.00333333,0,0.01,0.423484,0.423484,0.423484,0.000153586,0.423484,0.423484,0.423484,1,false
A,topo_20,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,0.09,-0.0333333,0.233333,0.2008,0.136667,0.01,0.276667,1.34966,1.11084,1.47441,9.999e-05,0.59814,0.375031,1.1253,241,true
A,topo_20,GLM-5.3-Flash,Jev-1.13.0,hosted,0.82,0.64,0.94,9.999e-05,0.876667,0.693333,0.99,1.52144,1.50792,1.59116,0.000102987,1.17274,1.03489,1.61456,33,true
A,topo_20,Qwen3.8-Flash,Jev-1.13.0,hosted,0.933333,0.9,0.963333,9.999e-05,0.99,0.97,1,1.21321,1.21321,1.22299,0.000153586,1.12517,1.12517,1.12517,3,false
