row_type,hypothesis,part,contrast,anchor,cell,statistic,point,ci_low,ci_high,p_raw,p_holm,holm_family_size,n_shared,eligible,resolved,verdict,coverage_complete,n_tests,n_eligible,n_expected_resolved,n_reversed_resolved,ineligible_cells,missing_cells,note
test,H7,A,Qwen3.8-Flash,Jev-1.13.0,topo_20,dT_p95_shared,1.21321,1.21321,1.22299,0.000153586,,,3,false,,,,,,,,,,ineligible: shared successes 3 < 30
test,H7,A,DeepSeek-V4.1-Flash,Jev-1.13.0,topo_40,dT_p95_shared,0.882032,0.512843,1.05129,9.999e-05,0.00219978,22,282,true,true,,,,,,,,,
test,H7,A,GLM-5.3-Flash,Jev-1.13.0,topo_40,dT_p95_shared,1.31999,1.23897,1.47186,0.000111869,,,7,false,,,,,,,,,,ineligible: shared successes 7 < 30
test,H7,A,Qwen3.8-Flash,Jev-1.13.0,topo_40,dT_p95_shared,1.23573,1.23573,1.2468,0.000153586,,,2,false,,,,,,,,,,ineligible: shared successes 2 < 30
test,H7,A,DeepSeek-V4.1-Flash,Jev-1.13.0,reuse_repeated_off,dT_p95_shared,0.215848,0.116068,0.559473,9.999e-05,0.00219978,22,299,true,true,,,,,,,,,
test,H7,A,GLM-5.3-Flash,Jev-1.13.0,reuse_repeated_off,dT_p95_shared,1.3388,0.872998,1.44177,9.999e-05,0.00219978,22,234,true,true,,,,,,,,,
test,H7,A,Qwen3.8-Flash,Jev-1.13.0,reuse_repeated_off,dT_p95_shared,1.21559,1.03398,1.48389,0.000102965,,,10,false,,,,,,,,,,ineligible: shared successes 10 < 30
test,H7,A,DeepSeek-V4.1-Flash,Jev-1.13.0,bursty,dT_p95_shared,0.4626,0.178188,0.597733,9.999e-05,0.00219978,22,282,true,true,,,,,,,,,
test,H7,A,GLM-5.3-Flash,Jev-1.13.0,bursty,dT_p95_shared,1.39392,1.09987,1.55325,0.00010012,0.00219978,22,65,true,true,,,,,,,,,
test,H7,A,Qwen3.8-Flash,Jev-1.13.0,bursty,dT_p95_shared,1.13864,0.899061,1.53829,0.000102965,,,19,false,,,,,,,,,,ineligible: shared successes 19 < 30
test,H7,B,DeepSeek-V4.1-Flash,Jev-1.13.0,steady_changing_off,dT_p95_shared,0.641055,0.306189,1.00556,9.999e-05,0.00089991,9,74,true,true,,,,,,,,,
test,H7,B,GLM-5.3-Flash,Jev-1.13.0,steady_changing_off,dT_p95_shared,0.628314,0.466861,0.870124,9.999e-05,0.00089991,9,81,true,true,,,,,,,,,
test,H7,B,Qwen3.8-Flash,Jev-1.13.0,steady_changing_off,dT_p95_shared,1.41569,1.28125,1.45398,9.999e-05,0.00089991,9,57,true,true,,,,,,,,,
test,H7,B,DeepSeek-V4.1-Flash,Jev-1.13.0,steady_repeated_off,dT_p95_shared,0.293796,0.218451,1.07844,9.999e-05,0.00089991,9,89,true,true,,,,,,,,,
test,H7,B,GLM-5.3-Flash,Jev-1.13.0,steady_repeated_off,dT_p95_shared,0.84539,0.334318,1.15971,9.999e-05,0.00089991,9,81,true,true,,,,,,,,,
test,H7,B,Qwen3.8-Flash,Jev-1.13.0,steady_repeated_off,dT_p95_shared,1.48045,1.35939,1.54536,9.999e-05,0.00089991,9,58,true,true,,,,,,,,,
test,H7,B,DeepSeek-V4.1-Flash,Jev-1.13.0,bursty_changing_off,dT_p95_shared,1.40989,0.375125,1.49224,9.999e-05,0.00089991,9,84,true,true,,,,,,,,,
test,H7,B,GLM-5.3-Flash,Jev-1.13.0,bursty_changing_off,dT_p95_shared,1.49056,1.23492,1.58194,0.00010002,0.00089991,9,30,true,true,,,,,,,,,
test,H7,B,Qwen3.8-Flash,Jev-1.13.0,bursty_changing_off,dT_p95_shared,1.2983,1.19729,1.36937,0.000110926,,,7,false,,,,,,,,,,ineligible: shared successes 7 < 30
test,H7,B,DeepSeek-V4.1-Flash,Jev-1.13.0,bursty_repeated_off,dT_p95_shared,1.36958,1.21849,1.43306,9.999e-05,0.00089991,9,80,true,true,,,,,,,,,
test,H7,B,GLM-5.3-Flash,Jev-1.13.0,bursty_repeated_off,dT_p95_shared,1.57632,1.54191,1.62517,0.000100402,,,20,false,,,,,,,,,,ineligible: shared successes 20 < 30
test,H7,B,Qwen3.8-Flash,Jev-1.13.0,bursty_repeated_off,dT_p95_shared,1.30485,1.07872,1.34912,0.000111433,,,5,false,,,,,,,,,,ineligible: shared successes 5 < 30
test,H8,A,DeepSeek-V4.1-Flash,Jev-1.13.0,reuse_repeated_on-minus-reuse_repeated_off,did_abs_G,-0.00333333,-0.01,0,0.6942,0.6942,6,299,true,false,,,,,,,,,
test,H8,A,DeepSeek-V4.1-Flash,Jev-1.13.0,reuse_repeated_on-minus-reuse_repeated_off,did_abs_dT_p50_shared,-0.114359,-0.126664,-0.106738,9.999e-05,0.00059994,6,299,true,true,,,,,,,,,
test,H8,A,GLM-5.3-Flash,Jev-1.13.0,reuse_repeated_on-minus-reuse_repeated_off,did_abs_G,-0.22,-0.413417,-0.0533333,0.0024,0.0048,6,234,true,true,,,,,,,,,
test,H8,A,GLM-5.3-Flash,Jev-1.13.0,reuse_repeated_on-minus-reuse_repeated_off,did_abs_dT_p50_shared,-0.476239,-0.608357,-0.425739,9.999e-05,0.00059994,6,234,true,true,,,,,,,,,
test,H8,A,Qwen3.8-Flash,Jev-1.13.0,reuse_repeated_on-minus-reuse_repeated_off,did_abs_G,-0.936667,-1,-0.833333,9.999e-05,0.00059994,6,10,true,true,,,,,,,,,
test,H8,A,Qwen3.8-Flash,Jev-1.13.0,reuse_repeated_on-minus-reuse_repeated_off,did_abs_dT_p50_shared,-1.30506,-1.46701,-1.05908,0.000102965,0.00059994,6,10,true,true,,,,,,,,,
test,H8,B,DeepSeek-V4.1-Flash,Jev-1.13.0,steady_repeated_on-minus-steady_repeated_off,did_abs_G,-0.00555556,-0.0166667,0,0.6974,0.6974,12,89,true,false,,,,,,,,,
test,H8,B,DeepSeek-V4.1-Flash,Jev-1.13.0,steady_repeated_on-minus-steady_repeated_off,did_abs_dT_p50_shared,-0.136802,-0.154233,-0.123441,9.999e-05,0.00119988,12,89,true,true,,,,,,,,,
test,H8,B,GLM-5.3-Flash,Jev-1.13.0,steady_repeated_on-minus-steady_repeated_off,did_abs_G,-0.05,-0.0994475,0,0.0514,0.1028,12,81,true,false,,,,,,,,,
test,H8,B,GLM-5.3-Flash,Jev-1.13.0,steady_repeated_on-minus-steady_repeated_off,did_abs_dT_p50_shared,-0.306961,-0.359589,-0.285488,9.999e-05,0.00119988,12,81,true,true,,,,,,,,,
test,H8,B,Qwen3.8-Flash,Jev-1.13.0,steady_repeated_on-minus-steady_repeated_off,did_abs_G,-0.177778,-0.254144,-0.109875,9.999e-05,0.00119988,12,58,true,true,,,,,,,,,
test,H8,B,Qwen3.8-Flash,Jev-1.13.0,steady_repeated_on-minus-steady_repeated_off,did_abs_dT_p50_shared,-1.06532,-1.17796,-1.01144,9.999e-05,0.00119988,12,58,true,true,,,,,,,,,
test,H8,B,DeepSeek-V4.1-Flash,Jev-1.13.0,bursty_repeated_on-minus-bursty_repeated_off,did_abs_G,-0.0555556,-0.105556,-0.0111732,0.009,0.027,12,80,true,true,,,,,,,,,
test,H8,B,DeepSeek-V4.1-Flash,Jev-1.13.0,bursty_repeated_on-minus-bursty_repeated_off,did_abs_dT_p50_shared,-0.958307,-1.24458,-0.219336,9.999e-05,0.00119988,12,80,true,true,,,,,,,,,
test,H8,B,GLM-5.3-Flash,Jev-1.13.0,bursty_repeated_on-minus-bursty_repeated_off,did_abs_G,-0.388889,-0.5,-0.254144,9.999e-05,0.00119988,12,20,true,true,,,,,,,,,
test,H8,B,GLM-5.3-Flash,Jev-1.13.0,bursty_repeated_on-minus-bursty_repeated_off,did_abs_dT_p50_shared,-0.995731,-1.6672,-0.917365,0.000100402,0.00119988,12,20,true,true,,,,,,,,,
test,H8,B,Qwen3.8-Flash,Jev-1.13.0,bursty_repeated_on-minus-bursty_repeated_off,did_abs_G,-0.472222,-0.544944,-0.411111,9.999e-05,0.00119988,12,5,true,true,,,,,,,,,
test,H8,B,Qwen3.8-Flash,Jev-1.13.0,bursty_repeated_on-minus-bursty_repeated_off,did_abs_dT_p50_shared,-1.15875,-1.23717,-1.07677,0.000111433,0.00119988,12,5,true,true,,,,,,,,,
verdict,H6,A,DeepSeek-V4.1-Flash,Jev-1.13.0,,,,,,,,,,,,holds,true,1,,1,,,,
verdict,H6,A,GLM-5.3-Flash,Jev-1.13.0,,,,,,,,,,,,holds,true,1,,1,,,,
verdict,H6,A,Qwen3.8-Flash,Jev-1.13.0,,,,,,,,,,,,holds,true,1,,1,,,,
verdict,H6,A,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,,,,,,,,,,,,does not hold,true,1,,0,,,,
verdict,H7,A+B,DeepSeek-V4.1-Flash,Jev-1.13.0,,,,,,,,,,,,holds,true,16,16,16,0,A:load_16,,
verdict,H7,A+B,GLM-5.3-Flash,Jev-1.13.0,,,,,,,,,,,,holds,true,11,11,11,0,A:load_8;A:load_16;A:deadline_0.5;A:topo_10;A:topo_40;B:bursty_repeated_off,,
verdict,H7,A+B,Qwen3.8-Flash,Jev-1.13.0,,,,,,,,,,,,not evaluable,true,4,4,4,0,A:load_4;A:load_8;A:load_16;A:deadline_0.5;A:deadline_1;A:deadline_4;A:topo_10;A:topo_20;A:topo_40;A:reuse_repeated_off;A:bursty;B:bursty_changing_off;B:bursty_repeated_off,,
verdict,H8,A,DeepSeek-V4.1-Flash,Jev-1.13.0,,,,,,,,,,,,does not hold,true,2,,1,,,,
verdict,H8,A,GLM-5.3-Flash,Jev-1.13.0,,,,,,,,,,,,holds,true,2,,2,,,,
verdict,H8,A,Qwen3.8-Flash,Jev-1.13.0,,,,,,,,,,,,holds,true,2,,2,,,,
verdict,H8,B,DeepSeek-V4.1-Flash,Jev-1.13.0,,,,,,,,,,,,does not hold,true,4,,3,,,,
verdict,H8,B,GLM-5.3-Flash,Jev-1.13.0,,,,,,,,,,,,does not hold,true,4,,3,,,,
verdict,H8,B,Qwen3.8-Flash,Jev-1.13.0,,,,,,,,,,,,holds,true,4,,4,,,,
